19:51:11 INFO DF DISCONNECT — killing sentinel + rtl_sdr
19:51:11 INFO SoapySDR closed
19:51:13 INFO DF DISCONNECT done
19:51:15 INFO DF LIVE START — killing rtl_sdr, starting scan loop
19:51:15 INFO DF LIVE thread started: True
19:51:17 INFO SoapySDR opened — persistent handle
19:51:17 DEBUG DF 622MHz: 131072 samples in 0.170s
19:51:17 DEBUG DF 624MHz: 131072 samples in 0.110s
19:51:17 DEBUG DF 628MHz: 131072 samples in 0.105s
19:51:17 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:17 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:17 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:18 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:18 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:18 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:18 DEBUG DF 628MHz: 131072 samples in 0.107s
19:51:18 DEBUG DF 630MHz: 131072 samples in 0.110s
19:51:18 DEBUG DF 632MHz: 131072 samples in 0.103s
19:51:18 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:18 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:18 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:19 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:19 DEBUG DF 628MHz: 131072 samples in 0.112s
19:51:19 DEBUG DF 630MHz: 131072 samples in 0.101s
19:51:19 DEBUG DF 632MHz: 131072 samples in 0.107s
19:51:19 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:19 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:19 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:19 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:19 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:20 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:20 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:20 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:21 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:21 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:21 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:21 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:21 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:21 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:21 DEBUG DF 632MHz: 131072 samples in 0.107s
19:51:21 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:21 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:21 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:22 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:22 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:23 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:23 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:23 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:23 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:23 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:23 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:23 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:23 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:23 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:24 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:24 DEBUG DF 636MHz: 131072 samples in 0.105s
19:51:25 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:25 DEBUG DF 624MHz: 131072 samples in 0.115s
19:51:25 DEBUG DF 628MHz: 131072 samples in 0.097s
19:51:25 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:25 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:25 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:25 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:25 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:25 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:26 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:27 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 630MHz: 131072 samples in 0.107s
19:51:27 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:27 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 624MHz: 131072 samples in 0.107s
19:51:28 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:28 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:29 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:30 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:30 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 622MHz: 131072 samples in 0.110s
19:51:31 DEBUG DF 624MHz: 131072 samples in 0.102s
19:51:31 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 634MHz: 131072 samples in 0.107s
19:51:31 DEBUG DF 636MHz: 131072 samples in 0.106s
19:51:31 DEBUG DF 622MHz: 131072 samples in 0.107s
19:51:32 DEBUG DF 624MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 628MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 630MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 632MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 634MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 636MHz: 131072 samples in 0.107s
19:51:32 DEBUG DF 622MHz: 131072 samples in 0.106s
19:51:32 DEBUG DF 624MHz: 131072 samples in 0.106s
