OK: 1871 rows, 44 with symptoms, 2896 IQ, 37 spectrograms
OK: 1882 rows, 46 with symptoms, 2896 IQ, 37 spectrograms
OK: 1894 rows, 53 with symptoms, 2896 IQ, 37 spectrograms
OK: 1905 rows, 54 with symptoms, 2896 IQ, 37 spectrograms
OK: 1916 rows, 60 with symptoms, 2896 IQ, 37 spectrograms
OK: 1927 rows, 64 with symptoms, 2896 IQ, 37 spectrograms
OK: 1936 rows, 67 with symptoms, 2950 IQ, 37 spectrograms
OK: 1942 rows, 70 with symptoms, 3300 IQ, 37 spectrograms
OK: 1948 rows, 73 with symptoms, 3612 IQ, 37 spectrograms
OK: 1954 rows, 75 with symptoms, 3912 IQ, 37 spectrograms
OK: 1960 rows, 78 with symptoms, 4188 IQ, 37 spectrograms
OK: 1966 rows, 80 with symptoms, 4500 IQ, 37 spectrograms
OK: 1972 rows, 80 with symptoms, 4789 IQ, 37 spectrograms
OK: 1978 rows, 81 with symptoms, 5109 IQ, 37 spectrograms
OK: 1984 rows, 81 with symptoms, 5368 IQ, 37 spectrograms
OK: 1990 rows, 81 with symptoms, 5618 IQ, 37 spectrograms
OK: 1996 rows, 81 with symptoms, 5859 IQ, 37 spectrograms
OK: 2000 rows, 81 with symptoms, 6099 IQ, 37 spectrograms
OK: 2006 rows, 81 with symptoms, 6327 IQ, 37 spectrograms
OK: 2012 rows, 81 with symptoms, 6545 IQ, 37 spectrograms
OK: 2018 rows, 81 with symptoms, 6759 IQ, 37 spectrograms
OK: 2024 rows, 81 with symptoms, 6968 IQ, 37 spectrograms
OK: 2030 rows, 81 with symptoms, 7172 IQ, 37 spectrograms
OK: 2036 rows, 81 with symptoms, 7371 IQ, 37 spectrograms
OK: 2042 rows, 81 with symptoms, 7566 IQ, 37 spectrograms
OK: 2048 rows, 81 with symptoms, 7757 IQ, 37 spectrograms
OK: 2050 rows, 82 with symptoms, 7946 IQ, 37 spectrograms
OK: 2050 rows, 82 with symptoms, 8137 IQ, 37 spectrograms
OK: 2050 rows, 82 with symptoms, 8327 IQ, 37 spectrograms
OK: 2050 rows, 82 with symptoms, 8510 IQ, 37 spectrograms, 266 pulse-joined
